"NOM","SIGLE"
"AABI","B"
"AABID","BD"
"AALBERG","LBRG"
"AAMARA","MR"
"AARAB","RB"
"AARNINK","RNNK"
"AARON","RN"
"AARRAS","RRS"
"AATAR","TR"
"AATIF","TF"
"AATZ","TZ"
"AAZIZ","ZZ"
"ABA","B"
"ABABOU","BB"
"ABABSA","BBS"
"ABACHIN","BCHN"
"ABAD","BD"
"ABADA","BD"
"ABADE","BD"
"ABADI","BD"
"ABADIA","BD"
"ABADIANO","BDN"
"ABADIAS","BDS"
"ABADIE","BD"
"ABADLI","BDL"
"ABADLIA","BDL"
"ABADO","BD"
"ABADOU","BD"
"ABAFFOUR","BFFR"
"ABAFOUR","BFR"
"ABAIDIA","BD"
"ABAILLE","BLL"
"ABAIR","BR"
"ABAJO","BJ"
"ABALAIN","BLN"
"ABALAM","BLM"
"ABALEA","BL"
"ABALEO","BL"
"ABALI","BL"
"ABALLAIN","BLLN"
"ABALLEA","BLL"
"ABALO","BL"
"ABANADES","BNDS"
"ABANCOURT","BNCRT"
"ABANE","BN"
"ABANES","BNS"
"ABANI","BN"
"ABAOUI","B"
"ABAR","BR"
"ABARCA","BRC"
"ABARE","BR"
"ABARKAN","BRKN"
"ABARKI","BRK"
"ABARNOU","BRN"
"ABARO","BR"
"ABART","BRT"
"ABAS","BS"
"ABASCAL","BSCL"
"ABASQ","BSQ"
"ABASSE","BSS"
"ABASSEUR","BSSR"
"ABASSI","BSS"
"ABASSIE","BSS"
"ABASTADO","BSTD"
"ABAT","BT"
"ABATAN","BTN"
"ABATE","BT"
"ABATI","BT"
"ABATORD","BTRD"
"ABATTU","BTT"
"ABATUCI","BTC"
"ABATUT","BTT"
"ABAUL","BL"
"ABAUTRET","BTRT"
"ABAUX","BX"
"ABAUZIT","BZT"
"ABAVENT","BVNT"
"ABAZA","BZ"
"ABAZIOU","BZ"
"ABBA","BB"
"ABBACH","BBCH"
"ABBACHE","BBCH"
"ABBACI","BBC"
"ABBAD","BBD"
"ABBADESSA","BBDSS"
"ABBADI","BBD"
"ABBADIE","BBD"
"ABBAL","BBL"
"ABBALLE","BBLL"
"ABBAMONTE","BBMNT"
"ABBAOUI","BB"
"ABBAR","BBR"
"ABBAS","BBS"
"ABBASSA","BBSS"
"ABBASSE","BBSS"
"ABBASSI","BBSS"
"ABBAT","BBT"
"ABBATE","BBT"
"ABBATI","BBT"
"ABBATIELLO","BBTLL"
"ABBATTISTA","BBTTST"
"ABBATUCCI","BBTCC"
"ABBAYE","BB"
"ABBAZ","BBZ"
"ABBE","BB"
"ABBE-DECARROUX","BB-DCRRX"
"ABBENZELLER","BBNZLLR"
"ABBES","BBS"
"ABBEY","BB"
"ABBEZZOT","BBZZT"
"ABBI","BB"
"ABBIATI","BBT"
"ABBINANTI","BBNNT"
"ABBO","BB"
"ABBONA","BBN"
"ABBONDANZA","BBNDNZ"
"ABBOT","BBT"
"ABBOTT","BBTT"
"ABBOU","BB"
"ABBOUB","BBB"
"ABBOUD","BBD"
"ABBOUDI","BBD"
"ABBRUZZESE","BBRZZS"
"ABBURA","BBR"
"ABCHEE","BCH"
"ABCHI","BCH"
"ABCHICHE","BCHCH"
"ABD EL KADER","BD L KDR"
"ABD-EL-KADER","BD-L-KDR"
"ABDA","BD"
"ABDALA","BDL"
"ABDALLA","BDLL"
"ABDALLAH","BDLLH"
"ABDALLAH BEN SALLAH","BDLLH BN SLLH"
"ABDALLAOUI","BDLL"
"ABDAOUI","BD"
"ABDAT","BDT"
"ABDEBREIMAN","BDBRMN"
"ABDECHAKOUR","BDCHKR"
"ABDEDAIM","BDDM"
"ABDEDDAIM","BDDDM"
"ABDEDDINE","BDDDN"
"ABDEDOU","BDD"
"ABDEL KADER","BDL KDR"
"ABDEL RAHMAN","BDL RHMN"
"ABDEL-KADER","BDL-KDR"
"ABDELALI","BDLL"
"ABDELAOUI","BDL"
"ABDELATIF","BDLTF"
"ABDELAZIZ","BDLZZ"
"ABDELBAKI","BDLBK"
"ABDELBOST","BDLBST"
"ABDELCADER","BDLCDR"
"ABDELDJEBBAR","BDLDJBBR"
"ABDELFETTAH","BDLFTTH"
"ABDELGHAFOUR","BDLGHFR"
"ABDELGHANI","BDLGHN"
"ABDELHADI","BDLHD"
"ABDELHAFID","BDLHFD"
"ABDELHAK","BDLHK"
"ABDELHALIM","BDLHLM"
"ABDELHAMID","BDLHMD"
"ABDELHEDI","BDLHD"
"ABDELI","BDL"
"ABDELJALIL","BDLJLL"
"ABDELJELIL","BDLJLL"
"ABDELKADER","BDLKDR"
"ABDELKADOUS","BDLKDS"
"ABDELKAFI","BDLKF"
"ABDELKEBIR","BDLKBR"
"ABDELKRIM","BDLKRM"
"ABDELLAH","BDLLH"
"ABDELLALI","BDLLL"
"ABDELLAOUI","BDLL"
"ABDELLATIF","BDLLTF"
"ABDELLAZIZ","BDLLZZ"
"ABDELLI","BDLL"
"ABDELLICHE","BDLLCH"
"ABDELMALEK","BDLMLK"
"ABDELMALKI","BDLMLK"
"ABDELMOULA","BDLML"
"ABDELMOUMEN","BDLMMN"
"ABDELMOUMENE","BDLMMN"
"ABDELMOUMENI","BDLMMN"
"ABDELMOUMNI","BDLMMN"
"ABDELNOUR","BDLNR"
"ABDELOUAHAB","BDLHB"
"ABDELOUAHABI","BDLHB"
"ABDELOUAHAD","BDLHD"
"ABDELOUAHED","BDLHD"
"ABDELOUHAB","BDLHB"
"ABDELWAHED","BDLWHD"
"ABDENNEBI","BDNNB"
"ABDENNOUR","BDNNR"
"ABDENNOURI","BDNNR"
"ABDENOURI","BDNR"
"ABDEREMANE","BDRMN"
"ABDERRAHIM","BDRRHM"
"ABDERRAHMAN","BDRRHMN"
"ABDERRAHMANE","BDRRHMN"
"ABDERRAHMANI","BDRRHMN"
"ABDERRAHMANN","BDRRHMNN"
"ABDERRAZAK","BDRRZK"
"ABDERREZAK","BDRRZK"
"ABDESLAM","BDSLM"
"ABDESLEM","BDSLM"
"ABDESSADKI","BDSSDK"
"ABDESSADOK","BDSSDK"
"ABDESSALEM","BDSSLM"
"ABDESSATAR","BDSSTR"
"ABDESSELAM","BDSSLM"
"ABDESSELEM","BDSSLM"
"ABDESSEMED","BDSSMD"
"ABDESSLAM","BDSSLM"
"ABDI","BD"
"ABDICHE","BDCH"
"ABDILLA","BDLL"
"ABDILLAH","BDLLH"
"ABDILLAHI","BDLLH"
"ABDO","BD"
"ABDOLA","BDL"
"ABDON","BDN"
"ABDOU","BD"
"ABDOUCHE","BDCH"
"ABDOUH","BDH"
"ABDOUL","BDL"
"ABDOUL-MANINROUDINE","BDL-MNNRDN"
"ABDOULAYE","BDL"
"ABDOULHOUSSEN","BDLHSSN"
"ABDOULI","BDL"
"ABDOUN","BDN"
"ABDOUNE","BDN"
"ABDOUNI","BDN"
"ABDOURAHIM","BDRHM"
"ABDOUS","BDS"
"ABDUL","BDL"
"ABDULLAH","BDLLH"
"ABE","B"
"ABEBERRY","BBRR"
"ABECASSIS","BCSSS"
"ABECK","BCK"
"ABED","BD"
"ABEDI","BD"
"ABEEL","BL"
"ABEELE","BL"
"ABEGG","BGG"
"ABEGUILE","BGL"
"ABEHSERA","BHSR"
"ABEIL","BL"
"ABEILARD","BLRD"
"ABEILHE","BLH"
